site_id,site_name,demand_id,Ei,Si,ci,install_flag,site_type,charger_power,P_exist_kW,P_min_kW,P_max_kW,max_x,subject_to_rule
S1,Blk 647 Tampines Street 62 HDB Carpark,D1,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,103.87,519.35,70,1
S2,Blk 634 Tampines North Drive 2 HDB Carpark,D1,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,118.235,591.175,80,1
S3,Blk 618 Tampines Street 61 HDB Carpark,D1,3.04914456,1.074460464,5400,1,HDB,7.4,21,254.15,1270.75,172,1
S4,Blk 646 Tampines Street 62 HDB Carpark,D1,3.04914456,1.074460464,5400,1,HDB,7.4,21,2.21,21,3,1
S5,Blk 629 Tampines North Drive 2 HDB Carpark,D1,0,1.074460464,5400,1,HDB,7.4,0,118.235,591.175,80,0
S6,Blk 107 Simei Street 1 HDB Carpark,D2,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,66.3,331.5,45,1
S7,Blk 248 Simei St 3 HDB Carpark,D2,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,130.39,651.95,88,1
S8,Blk 141 Simei Street 2 HDB Carpark,D2,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,39.78,198.9,27,1
S9,Blk 119 Simei Street 1 HDB Carpark,D2,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,137.02,685.1,93,1
S10,Blk 1 Simei Street 4 (Simei Green Condo) Carpark,D2,3.376875744,0.562812624,5400,1,Condo,7.4,44.4,133.042,665.21,90,1
S11,Blk 129 Simei Street 1 HDB Carpark,D2,6.09828912,1.074460464,5400,1,HDB,7.4,42,88.4,442,60,1
S12,Blk 153 Simei Street 1 HDB Carpark,D2,3.04914456,1.074460464,5400,1,HDB,7.4,21,53.04,265.2,36,1
S13,Blk 108 Simei Street 1 HDB Carpark,D2,2.148920928,1.074460464,5400,1,HDB,7.4,14.8,64.09,320.45,43,1
S14,Moriah Bible-Presbyterian Church Carpark,D2,0.409318272,0.102329568,4000,0,Church,3.7,14.8,4.42,22.1,6,1
S15,Blk 256A Simei Street 1 HDB Carpark,D2,0,1.074460464,5400,1,HDB,7.4,0,53.04,265.2,36,0
S16,Blk 221/235 Simei Street 4 HDB Carpark,D2,0,1.074460464,5400,1,HDB,7.4,0,152.49,762.45,103,0
S17,Blk 29C Chai Chee Avenue HDB Carpark,D3,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,123.76,618.8,84,1
S18,Heartbeat @ Bedok Carpark,D3,13.6900368,4.25912256,7900,1,Mall,22,110,58.565,292.825,13,1
S19,Blk 222 Bedok North Drive HDB Carpark,D3,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,41.99,209.95,28,1
S20,Blk 43 Chai Chee Street HDB Carpark,D3,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,50.83,254.15,34,1
S21,Blk 424 Bedok North Avenue 1 HDB Carpark,D3,3.223381392,1.074460464,5400,1,HDB,7.4,22.2,15.47,77.35,10,1
S22,Blk 203 Bedok North Street 1 Carpark,D3,3.04914456,1.074460464,5400,1,HDB,7.4,21,26.52,132.6,18,1
S23,Blk 33 Chai Chee Avenue HDB Carpark,D3,3.04914456,1.074460464,5400,1,HDB,7.4,21,55.25,276.25,37,1
S24,Bedok Town Centre Carpark,D3,6.446762784,4.25912256,7900,1,Mall,22,44.4,123.76,618.8,28,1
S25,Blk 37 Chai Chee Avenue HDB Carpark,D3,2.148920928,1.074460464,5400,1,HDB,7.4,14.8,55.25,276.25,37,1
S26,Bedok Mall Carpark,D3,0,4.25912256,7900,1,Mall,22,0,110.5,552.5,25,0
S27,Blk 21 Bedok North Drive HDB Carpark,D3,0,1.074460464,5400,1,HDB,7.4,0,41.99,209.95,28,0
