site_id,demand_id,dij
S1,D1,0.2573332486
S1,D2,1000000000
S1,D3,1000000000
S1,D4,1000000000
S1,D5,1000000000
S1,D6,2.995003184
S1,D7,1000000000
S2,D1,0.1593116742
S2,D2,1000000000
S2,D3,1000000000
S2,D4,1000000000
S2,D5,1000000000
S2,D6,4.154048789
S2,D7,1000000000
S3,D1,0.4104551078
S3,D2,1000000000
S3,D3,1000000000
S3,D4,1000000000
S3,D5,1000000000
S3,D6,5.848229867
S3,D7,1000000000
S4,D1,0.2128491887
S4,D2,1000000000
S4,D3,1000000000
S4,D4,1000000000
S4,D5,1000000000
S4,D6,2.923682053
S4,D7,1000000000
S5,D1,0.05172736951
S5,D2,1000000000
S5,D3,1000000000
S5,D4,1000000000
S5,D5,1000000000
S5,D6,3.970763008
S5,D7,1000000000
S6,D1,1000000000
S6,D2,0.341423799
S6,D3,1000000000
S6,D4,1000000000
S6,D5,4.967877637
S6,D6,1000000000
S6,D7,1000000000
S7,D1,1000000000
S7,D2,0.1156892304
S7,D3,1000000000
S7,D4,1000000000
S7,D5,4.654774291
S7,D6,1000000000
S7,D7,1000000000
S8,D1,1000000000
S8,D2,0.3840741309
S8,D3,1000000000
S8,D4,1000000000
S8,D5,4.758228548
S8,D6,1000000000
S8,D7,1000000000
S9,D1,1000000000
S9,D2,0.3042809999
S9,D3,1000000000
S9,D4,1000000000
S9,D5,5.652727432
S9,D6,1000000000
S9,D7,1000000000
S10,D1,1000000000
S10,D2,0.356231495
S10,D3,1000000000
S10,D4,1000000000
S10,D5,2.573727493
S10,D6,1000000000
S10,D7,1000000000
S11,D1,1000000000
S11,D2,0.3446474795
S11,D3,1000000000
S11,D4,1000000000
S11,D5,5.292249101
S11,D6,1000000000
S11,D7,1000000000
S12,D1,1000000000
S12,D2,0.4386903102
S12,D3,1000000000
S12,D4,1000000000
S12,D5,3.887080257
S12,D6,1000000000
S12,D7,1000000000
S13,D1,1000000000
S13,D2,0.2748909871
S13,D3,1000000000
S13,D4,1000000000
S13,D5,5.515545078
S13,D6,1000000000
S13,D7,1000000000
S14,D1,1000000000
S14,D2,0.3111232536
S14,D3,1000000000
S14,D4,1000000000
S14,D5,3.668825743
S14,D6,1000000000
S14,D7,1000000000
S15,D1,1000000000
S15,D2,0.1921036105
S15,D3,1000000000
S15,D4,1000000000
