constraint,pi,slack,abs_pi
max_chargers_S26,-13239.331746970547,0.0,13239.331746970547
demand_D2,5372.84591285451,0.0,5372.84591285451
demand_D6,5323.34427179451,0.0,5323.34427179451
demand_D3,5318.27157482451,0.0,5318.27157482451
demand_D1,5180.96033018451,0.0,5180.96033018451
capacity_S66,-5167.53149900451,0.0,5167.53149900451
capacity_S70,-5025.77822165451,0.0,5025.77822165451
capacity_S7,-5025.77822165451,0.0,5025.77822165451
capacity_S5,-5025.77822165451,0.0,5025.77822165451
capacity_S19,-5025.77822165451,0.0,5025.77822165451
capacity_S26,-4963.30674902451,0.0,4963.30674902451
capacity_S15,-4796.53508135451,0.0,4796.53508135451
capacity_S64,-4782.90584669451,0.0,4782.90584669451
capacity_S22,-4704.71112992451,0.0,4704.71112992451
capacity_S2,-4703.02530758451,0.0,4703.02530758451
capacity_S27,-4686.89493092451,0.0,4686.89493092451
capacity_S13,-4548.17295155451,0.0,4548.17295155451
capacity_S4,-4542.41276408451,0.0,4542.41276408451
capacity_S9,-4460.00291315451,0.0,4460.00291315451
capacity_S14,-4439.47615205451,0.0,4439.47615205451
capacity_S16,-4425.07435355451,0.0,4425.07435355451
capacity_S1,-4408.96058438451,0.0,4408.96058438451
capacity_S6,-4348.5745158545105,0.0,4348.5745158545105
capacity_S11,-4338.90347435451,0.0,4338.90347435451
capacity_S25,-4326.35260262451,0.0,4326.35260262451
capacity_S23,-4326.35260262451,0.0,4326.35260262451
capacity_S10,-4304.15142785451,0.0,4304.15142785451
capacity_S65,-4292.53332089451,0.0,4292.53332089451
capacity_S8,-4220.62352015451,0.0,4220.62352015451
capacity_S68,-4193.771744394509,0.0,4193.771744394509
capacity_S67,-4186.38826529451,0.0,4186.38826529451
capacity_S21,-4120.45129262451,0.0,4120.45129262451
capacity_S24,-4092.23772182451,0.0,4092.23772182451
capacity_S12,-4056.77498225451,0.0,4056.77498225451
capacity_S3,-3949.5950067845097,0.0,3949.5950067845097
capacity_S17,-3945.5982381245103,0.0,3945.5982381245103
capacity_S18,-3896.12273012451,0.0,3896.12273012451
capacity_S20,-3852.18356162451,0.0,3852.18356162451
capacity_S69,-3820.95921209451,0.0,3820.95921209451
demand_D5,2451.3155989282996,0.0,2451.3155989282996
demand_D7,2313.5869798282997,0.0,2313.5869798282997
demand_D4,2230.9828099283,0.0,2230.9828099283
capacity_S37,-1981.0483442183,0.0,1981.0483442183
capacity_S58,-1976.7119770282995,0.0,1976.7119770282995
capacity_S34,-1854.8421391282998,0.0,1854.8421391282998
capacity_S75,-1854.8421391282998,0.0,1854.8421391282998
capacity_S53,-1854.8421391282998,0.0,1854.8421391282998
capacity_S76,-1849.0183186282998,0.0,1849.0183186282998
capacity_S55,-1766.7037438282996,0.0,1766.7037438282996
capacity_S33,-1744.1016433283,0.0,1744.1016433283
capacity_S74,-1741.3713367282996,0.0,1741.3713367282996
capacity_S50,-1737.5794039283,0.0,1737.5794039283
capacity_S61,-1675.0446274282995,0.0,1675.0446274282995
capacity_S73,-1417.5172894282996,0.0,1417.5172894282996
capacity_S59,-1375.4682700282995,0.0,1375.4682700282995
capacity_S30,-1372.1426317282999,0.0,1372.1426317282999
capacity_S35,-1354.9219996283,0.0,1354.9219996283
capacity_S60,-1321.8963211282996,0.0,1321.8963211282996
capacity_S71,-1293.1595176282997,0.0,1293.1595176282997
capacity_S62,-1286.8178206282996,0.0,1286.8178206282996
capacity_S28,-1187.6952318245103,0.0,1187.6952318245103
capacity_S54,-1062.8047930282996,0.0,1062.8047930282996
capacity_S32,-1041.1708363282999,0.0,1041.1708363282999
capacity_S72,-1012.8913756282998,0.0,1012.8913756282998
capacity_S63,-836.8160839282996,0.0,836.8160839282996
capacity_S29,-828.3514123283001,0.0,828.3514123283001
capacity_S36,-821.2553296282999,0.0,821.2553296282999
min_power_S41,729.7297297297297,0.0,729.7297297297297
min_power_S40,729.7297297297297,0.0,729.7297297297297
capacity_S57,-724.9950721282994,0.0,724.9950721282994
min_power_S47,722.9382086893065,0.0,722.9382086893065
min_power_S43,700.3800797201233,0.0,700.3800797201233
min_power_S39,697.8859453315657,0.0,697.8859453315657
min_power_S46,690.2376383846205,0.0,690.2376383846205
min_power_S48,674.6634294552441,0.0,674.6634294552441
capacity_S56,-672.2722057282995,0.0,672.2722057282995
min_power_S44,659.0820707610259,0.0,659.0820707610259
min_power_S55,657.2941688532126,0.0,657.2941688532126
min_power_S42,652.2746974980192,0.0,652.2746974980192
capacity_S45,-648.1464055283,0.0,648.1464055283
capacity_S49,-645.8583997282999,0.0,645.8583997282999
max_power_S66,-641.3249994054875,0.0,641.3249994054875
min_power_S45,635.6205827535312,0.0,635.6205827535312
max_power_S64,-566.8628270005677,0.0,566.8628270005677
min_power_S71,541.9663817112271,0.0,541.9663817112271
capacity_S42,-533.4465601283,0.0,533.4465601283
min_power_S29,520.8532255791295,0.0,520.8532255791295
capacity_S51,-494.35777482829985,0.0,494.35777482829985
capacity_S44,-486.5629717282998,0.0,486.5629717282998
min_power_S72,445.55733082722367,0.0,445.55733082722367
max_power_S24,-433.1519091775352,0.0,433.1519091775352
min_power_S10,402.37422172916973,0.0,402.37422172916973
max_power_S18,-395.18473710918596,0.0,395.18473710918596
capacity_S48,-379.2513877283002,0.0,379.2513877283002
capacity_S31,-300.5929210283,0.0,300.5929210283
capacity_S38,-277.26628182829995,0.0,277.26628182829995
capacity_S46,-271.98904542829996,0.0,271.98904542829996
capacity_S52,-251.6424883282998,0.0,251.6424883282998
capacity_S39,-219.31379742829995,0.0,219.31379742829995
capacity_S43,-202.13625102829997,0.0,202.13625102829997
