site_id,x_new_chargers
S1,12.0
S2,14.0
S3,32.0
S4,0.0
S5,70.0
S6,6.0
S7,72.0
S8,3.0
S9,16.0
S10,12.0
S11,7.0
S12,5.0
S13,7.0
S14,-0.0
S15,-0.0
S16,-0.0
S17,14.0
S18,8.0
S19,6.0
S20,4.0
S21,-0.0
S22,1.0
S23,5.0
S24,26.0
S25,6.0
S26,25.0
S27,-0.0
S28,-0.0
S29,6.0
S30,-0.0
S31,0.0
S32,0.0
S33,-0.0
S34,17.0
S35,0.0
S36,-0.0
S37,35.0
S38,-0.0
S39,8.0
S40,3.0
S41,1.0
S42,6.0
S43,27.0
S44,10.0
S45,1.0
S46,6.0
S47,11.0
S48,4.0
S49,-0.0
S50,-0.0
S51,-0.0
S52,-0.0
S53,5.0
S54,0.0
S55,1.0
S56,0.0
S57,0.0
S58,0.0
S59,0.0
S60,0.0
S61,0.0
S62,0.0
S63,0.0
S64,0.0
S65,14.0
S66,0.0
S67,14.0
S68,8.0
S69,23.0
S70,28.0
S71,9.0
S72,4.0
S73,0.0
S74,-0.0
S75,21.0
S76,-0.0
